title,url,date,author,content,categories,source,language,id,collected_at,authors,abstract,year,clean_content,clean_abstract,clean_title,keywords
Profissionais certificados C11.FM ABRAFAC recebem homenagem durante Seminário,https://abrafac.org.br/conhecimento/profissionais-certificados-c11-fm-abrafac-recebem-homenagem-durante-seminario/,2025-03-05T09:24:16.188751,ABRAFAC,,[],ABRAFAC,pt,6c96048c1620b736a87012119d751ead,2025-03-05T09:24:16.216249,,,,,,profissionais certificados cfm abrafac recebem homenagem durante seminario,[]
ABRAFAC participa de reunião com as principais lideranças do setor de serviços,https://abrafac.org.br/acontece/abrafac-participa-de-reuniao-com-as-principais-liderancas-do-setor-de-servicos/,2025-03-05T09:24:18.490964,ABRAFAC,,[],ABRAFAC,pt,3fc095f2a16a4456a258763ae6b1d613,2025-03-05T09:24:18.514601,,,,,,abrafac participa de reuniao com as principais liderancas do setor de servicos,[]
Seja um voluntário!,https://abrafac.org.br/gente/seja-um-voluntario/,2025-03-05T09:24:20.571951,ABRAFAC,,[],ABRAFAC,pt,fc618b2746988b08e3ae616af5b568aa,2025-03-05T09:24:20.598385,,,,,,seja um voluntario,[]
Perspectivas do mercado de Facility Management,https://abrafac.org.br/mercado/perspectivas-do-mercado-de-facility-management/,2025-03-05T09:24:22.663017,ABRAFAC,,[],ABRAFAC,pt,76b6740d7188f88cccdd892e97225b82,2025-03-05T09:24:22.688405,,,,,,perspectivas do mercado de facility management,[]
Primeiro FM Debate do ano apresenta trabalhos vencedores do Prêmio ABRAFAC 2024,https://abrafac.org.br/gestao/primeiro-fm-debate-do-ano-apresenta-trabalhos-vencedores-do-premio-abrafac-2024/,2025-03-05T09:24:25.569640,ABRAFAC,,[],ABRAFAC,pt,077d64a303b7a519ae9ae5a99172604f,2025-03-05T09:24:25.594222,,,,,,primeiro fm debate do ano apresenta trabalhos vencedores do premio abrafac,[]
Uma jornada empreendedora que revolucionou a gestao de equipes de campo,https://www.infrafm.com.br/Textos/0/23996/Uma-jornada-empreendedora-que-revolucionou-a-gestao-de-equipes-de-campo,2025-03-05T09:24:30.006165,InfraFM,,[],InfraFM,pt,9234291cb733a236c8a96bc977f0091f,2025-03-05T09:24:30.022306,,,,,,uma jornada empreendedora que revolucionou a gestao de equipes de campo,[]
Como as tecnologias estao revolucionando a manutencao de ativos no setor de oleo e gas,https://www.infrafm.com.br/Textos/0/23991/Como-as-tecnologias-estao-revolucionando-a-manutencao-de-ativos-no-setor-de-oleo-e-gas,2025-03-05T09:24:32.595910,InfraFM,,[],InfraFM,pt,770d3102355a6597b975ebdd53892439,2025-03-05T09:24:32.619842,,,,,,como as tecnologias estao revolucionando a manutencao de ativos no setor de oleo e gas,[]
Modernizando e posicionando um escritorio de 30 anos como pilar do mercado,https://www.infrafm.com.br/Textos/0/23999/Modernizando-e-posicionando-um-escritorio-de-30-anos-como-pilar-do-mercado,2025-03-05T09:24:35.179919,InfraFM,,[],InfraFM,pt,aa85c7df620f3c191d44230017b828a6,2025-03-05T09:24:35.197292,,,,,,modernizando e posicionando um escritorio de anos como pilar do mercado,[]
Inovando na comunicacao visual com flexibilidade e acessibilidade,https://www.infrafm.com.br/Textos/0/23994/Inovando-na-comunicacao-visual-com-flexibilidade-e-acessibilidade,2025-03-05T09:24:37.763595,InfraFM,,[],InfraFM,pt,c2c2988a14b30b29228dec5ebc3a1b5f,2025-03-05T09:24:37.788364,,,,,,inovando na comunicacao visual com flexibilidade e acessibilidade,[]
Revolucionando a gestao no setor de terceirizacao,https://www.infrafm.com.br/Textos/0/23993/Revolucionando-a-gestao-no-setor-de-terceirizacao,2025-03-05T09:24:40.373684,InfraFM,,[],InfraFM,pt,7a51b644d2a40227eef4ea8b6839f268,2025-03-05T09:24:40.388683,,,,,,revolucionando a gestao no setor de terceirizacao,[]
Why Educating Cleaning Associates is Essential for Promoting Building Health,https://blog.ifma.org/why-educating-cleaning-associates-is-essential-for-promoting-building-health,2025-02-25T00:00:00,IFMA,"February 25, 2025
      

Why Educating Cleaning Associates is Essential for Promoting Building Health



           
          
            Kalli Folk
          


          
          
          
          

          
          2 minute read
          
        


Maintaining a clean, healthy environment requires more than just surface-level cleaning – it demands empowered, properly trained associates who take pride in their work. Ensuring associates understand the science and the rationale behind their tasks is important not only for quality service, but also truly sanitized spaces.
With the right knowledge and tools, cleaning associates have the confidence that they are the experts, providing a greater level of care and comfort for building occupants.

Chemical Education
Considering how often associates work with various cleaning products, it is essential team members are educated on the science behind the chemical agents they are using, what makes them effective and how to properly use them.
For example:

A chlorine bleach-based product, like toilet bowl cleaner, can erode the finish of a sink due to its corrosive properties.
Floors often do not respond well to general cleaners or most disinfectants, which can result in a sticky residue. Use a neutral floor cleaner.

By educating associates on these nuances, we empower them to achieve superior results while protecting the integrity of the spaces they clean.
Mastering Dwell Times
Dwell times - the period a disinfectant needs to remain on a surface to eliminate bacteria or viruses – is a fundamental of proper cleaning. They can vary depending on how each disinfectant interacts with various bacteria or viruses.
Associates need to know whether the dwell time is 30 seconds, two minutes or 10 minutes to ensure the product is used correctly.
With this knowledge, they’ll be more effective and the areas they clean will be healthier.
Understanding Germ Loads
Creating sanitary environments relies upon cleaning associates understanding where germs and bacteria loads are likely to be high. 
While associates are typically trained to clean door handles, light switches and toilet seats, challenging your teams’ critical thinking can elevate their approach.
For example:

Commonly touched surfaces like refrigerator door, coffee pot and microwave handles often require additional attention.
Shared areas that are frequently used but hastily cleaned, like privacy booths.

Using the Right Tools
Doing manual tasks not only takes more time but increases the risk of injury.
Honor investments, boost efficiency and promote safety by taking inventory of the equipment you have available and ensuring that it is being properly maintained and utilized. For example:

Is a restroom cleaning machine collecting dust because it’s not easily accessible?
Are associates bypassing intelligent mops for hand mops because they don’t know how to use them properly?

When associates are empowered to utilize modern tools effectively, they not only save time but also work more safely and efficiently.
Microfiber: Small But Mighty
One of the best tools in a cleaning arsenal is microfiber. Many associates default to rags or disposables because the benefits of microfiber are not clearly explained.
Microfiber cloths are made of synthetic fibers—typically polyester and nylon—that are split into tiny strands, each about 1/100th the diameter of a human hair. This creates a massive surface area for trapping dirt, dust and bacteria.

Microfiber can remove 99% of bacteria and germs using just water.
Microfiber creates a static charge that attracts and traps particles, preventing them from being spread around.

Tip: Increase microfiber longevity by following the manufacturer's recommendations for laundering.
In conclusion, a well-trained cleaning team is crucial to maintaining spaces that are not only clean but also truly healthy and safe. By educating associates about chemical agents they are using, dwell times, germ loads, and the importance of using the right tools, we can help build employee confidence while enhancing building health.

Editor's Note: Kalli Folk is ESFM’s National Director of Hospitality & Cleaning Programs, bringing a wealth of experience and a forward-thinking approach to janitorial programming. Her comprehensive background includes healthcare, education, and business & industry clients. While driving a culture of hospitality, Kalli leads the implementation of ESFM’s proprietary, self-performed janitorial program, eClean, which obtained ISSA’s CIMS and CIMS-GB certifications with honors.

 




Share:


Share this page on Facebook




linkedin-in icon




twitter icon




pinterest-p icon




envelope icon",['tecnologia'],IFMA Blog,en,a36f5c668a00d10f159b8cb659cd1dce,2025-03-05T09:24:45.912780,,,,february why educating cleaning associates is essential for promoting building health kalli folk minute read maintaining a clean healthy environment requires more than just surfacelevel cleaning - it demands empowered properly trained associates who take pride in their work ensuring associates understand the science and the rationale behind their tasks is important not only for quality service but also truly sanitized spaces with the right knowledge and tools cleaning associates have the confidence that they are the experts providing a greater level of care and comfort for building occupants chemical education considering how often associates work with various cleaning products it is essential team members are educated on the science behind the chemical agents they are using what makes them effective and how to properly use them for example a chlorine bleachbased product like toilet bowl cleaner can erode the finish of a sink due to its corrosive properties floors often do not respond well to general cleaners or most disinfectants which can result in a sticky residue use a neutral floor cleaner by educating associates on these nuances we empower them to achieve superior results while protecting the integrity of the spaces they clean mastering dwell times dwell times the period a disinfectant needs to remain on a surface to eliminate bacteria or viruses - is a fundamental of proper cleaning they can vary depending on how each disinfectant interacts with various bacteria or viruses associates need to know whether the dwell time is seconds two minutes or minutes to ensure the product is used correctly with this knowledge they'll be more effective and the areas they clean will be healthier understanding germ loads creating sanitary environments relies upon cleaning associates understanding where germs and bacteria loads are likely to be high while associates are typically trained to clean door handles light switches and toilet seats challenging your teams' critical thinking can elevate their approach for example commonly touched surfaces like refrigerator door coffee pot and microwave handles often require additional attention shared areas that are frequently used but hastily cleaned like privacy booths using the right tools doing manual tasks not only takes more time but increases the risk of injury honor investments boost efficiency and promote safety by taking inventory of the equipment you have available and ensuring that it is being properly maintained and utilized for example is a restroom cleaning machine collecting dust because it's not easily accessible are associates bypassing intelligent mops for hand mops because they don't know how to use them properly when associates are empowered to utilize modern tools effectively they not only save time but also work more safely and efficiently microfiber small but mighty one of the best tools in a cleaning arsenal is microfiber many associates default to rags or disposables because the benefits of microfiber are not clearly explained microfiber cloths are made of synthetic fibers--typically polyester and nylon--that are split into tiny strands each about th the diameter of a human hair this creates a massive surface area for trapping dirt dust and bacteria microfiber can remove of bacteria and germs using just water microfiber creates a static charge that attracts and traps particles preventing them from being spread around tip increase microfiber longevity by following the manufacturers recommendations for laundering in conclusion a welltrained cleaning team is crucial to maintaining spaces that are not only clean but also truly healthy and safe by educating associates about chemical agents they are using dwell times germ loads and the importance of using the right tools we can help build employee confidence while enhancing building health editors note kalli folk is esfm's national director of hospitality cleaning programs bringing a wealth of experience and a forwardthinking approach to janitorial programming her comprehensive background includes healthcare education and business industry clients while driving a culture of hospitality kalli leads the implementation of esfm's proprietary selfperformed janitorial program eclean which obtained issa's cims and cimsgb certifications with honors share share this page on facebook linkedinin icon twitter icon pinterestp icon envelope icon,,why educating cleaning associates is essential for promoting building health,"['the', 'and', 'are', 'associat', 'cleaning', 'clean', 'not', 'they', 'microfib', 'but']"
